Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,4.506940,5.223860,3.570480,3.696470,3.696470,59992300
2017-11-13,3.693680,5.472480,3.693680,5.122120,5.122120,147473400
2017-11-20,5.125810,5.793480,4.986010,5.684920,5.684920,161886900
2017-11-27,5.671620,6.598980,4.392260,6.198720,6.198720,197229600
2017-12-04,6.205580,10.455100,6.033400,9.761560,9.761560,335634400
2017-12-11,9.728640,15.624300,9.648950,13.535900,13.535900,538030704
2017-12-18,13.631600,18.073400,9.818150,13.812200,13.812200,609102504
2017-12-25,13.934800,15.154000,10.948100,12.596600,12.596600,397880100
2018-01-01,12.626000,13.730300,11.444000,12.947000,12.947000,405240700
2018-01-08,12.847700,14.106600,9.977600,11.091200,11.091200,375692804
2018-01-15,11.024300,11.475000,6.679680,8.267660,8.267660,345026304
2018-01-22,8.382330,9.528380,7.586120,9.196240,9.196240,261202100
2018-01-29,9.187180,9.299760,5.352720,5.741410,5.741410,193430200
2018-02-05,5.710190,6.322630,3.658210,5.450750,5.450750,165830700
2018-02-12,5.486020,8.363900,5.403830,7.539070,7.539070,237619900
2018-02-19,7.537330,8.537910,6.272040,6.486070,6.486070,218032000
2018-02-26,6.489610,6.954820,6.141920,6.864580,6.864580,154090000
2018-03-05,6.858390,7.025780,5.147120,5.896160,5.896160,174250800
2018-03-12,5.882490,5.985000,3.867360,4.408140,4.408140,158088300
2018-03-19,4.389690,5.197500,4.386700,4.736300,4.736300,145958400
2018-03-26,4.726710,4.779990,3.312460,3.491030,3.491030,130554500
2018-04-02,3.506460,4.087550,3.360720,3.638840,3.638840,130425700
2018-04-09,3.644270,4.932320,3.400600,4.911380,4.911380,153282100
2018-04-16,4.912190,5.426290,4.645750,5.176810,5.176810,206756300
2018-04-23,5.162920,8.545350,4.996680,7.011470,7.011470,353509804
2018-04-30,7.013890,7.974060,6.390090,6.946060,6.946060,283634200
2018-05-07,6.950740,6.953990,5.840680,6.572230,6.572230,210551600
2018-05-14,6.603660,6.803580,5.635270,6.071350,6.071350,209073900
2018-05-21,6.071330,6.121890,4.213810,4.217860,4.217860,171070600
2018-05-28,4.223190,4.607700,3.813920,4.382490,4.382490,188038700
2018-06-04,4.413200,4.938680,3.755710,3.807790,3.807790,202362000
2018-06-11,3.807900,3.998110,3.162030,3.397120,3.397120,161312800
2018-06-18,3.392040,3.745750,2.461610,2.710450,2.710450,156690700
2018-06-25,2.713960,3.046060,2.434050,2.864050,2.864050,169303900
2018-07-02,2.862460,3.190360,2.805430,3.055680,3.055680,104495000
2018-07-09,3.018620,3.061330,2.536310,2.756030,2.756030,77531580
